# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
230	0.0	 0.6423983460056993	 2946.4621968628585	 0.10671979771366236	 10	                0.04	                0.12	  7
231	0.0	  0.592075399842314	 3023.0006819607647	  0.0970305190435593	  9	                0.04	                0.14	  5
232	0.0	0.42774393181934955	 2938.2101035640794	 0.11521420691902329	 13	                0.94	                0.08	  4
233	0.0	 0.4259040739386524	 3065.2522138619083	 0.06732573941616136	 17	                0.66	                0.08	  2
234	0.0	0.49450509682684457	  3472.987413299804	 0.06779599180068321	  5	                 0.8	                 0.1	  2
235	0.0	 0.3863809085357273	 3408.8129484115943	0.038284135874191744	  8	                0.16	                 0.1	  4
236	0.0	 0.5143455282376846	 3331.3020953940104	  0.1393955132482688	 14	                0.86	                0.08	  1
237	0.0	 0.6709765542238231	  3161.089178540387	  0.1997078342263853	  4	                0.16	                0.14	  3
238	0.0	 0.6241926501977343	 3256.5581193669514	 0.16503631219447865	  7	                0.16	                 0.2	  1
239	0.0	  0.537047086571607	  3189.265567634922	  0.2737009476995398	 14	                0.16	                0.22	  3
240	0.0	  0.549824760144361	 2710.9488468156683	  0.0803024329917345	  9	                0.16	                0.22	  2
241	0.0	 0.5483641582755497	  2492.401604306453	 0.07994014212336224	 12	                0.16	                0.16	  7
242	0.0	 0.4766267419645425	  2371.806630423981	 0.07188150012577102	 19	                 0.9	                 0.1	  4
243	0.0	 0.6315261129163938	 2435.9523130049156	0.024807064821781178	  5	                 0.9	                 0.1	  4
244	0.0	 0.7259213243096085	 2311.1510512064974	0.025169357610157674	  8	                0.34	                0.08	  6
245	0.0	 0.5540036759271323	  2206.100177795363	0.030653311621625365	 19	                0.42	                0.06	  5
246	0.0	 0.7109940205355639	 2443.0973913451307	 0.05262838438717135	  4	                0.12	                 0.1	  3
247	0.0	 0.6177859448775691	  2597.173711933313	 0.04788264683981873	 14	                 0.0	                0.08	  4
248	0.0	 0.7189831925551917	  2864.422081425681	 0.04455187838614996	 10	                 0.0	                 0.1	  4
249	0.0	  0.632002463574271	 2768.5858878124827	  0.0627408188597555	  7	                0.54	                0.06	  2
250	0.0	  0.676762288099938	   3152.11330934789	 0.04767989396320147	 10	                0.58	                0.08	  5
